type,full_name,email,password,profile_id,status
TEACHER,Samuel KPODAR,samuel.kpodar11@edu-eval.local,Edu@S011cyLBg2,b5c2ad0b-ce1d-4bf4-b0cb-ee7d18e3666b,created
TEACHER,Afi LAWSON,afi.lawson10@edu-eval.local,Edu@S010vnsyEB,1ac989f4-e655-4879-8bc3-aab9addfe9bb,created
TEACHER,Abla MENSAH,abla.mensah6@edu-eval.local,Edu@S0060yJ2gz,4d5fc85a-ff7e-42bc-81d1-d9c281260106,created
TEACHER,Abla NIKA,abla.nika3@edu-eval.local,Edu@S003myGcO5,c28cadd3-2f17-46dd-8621-0d3ad1458bbf,created
TEACHER,Kodjo SOGLO,kodjo.soglo19@edu-eval.local,Edu@S019GER1y5,deff2ad8-41a1-4e47-83ef-34681b95abcc,created
TEACHER,Prisca TCHAKALA,prisca.tchakala9@edu-eval.local,Edu@S0090LjimZ,921ccc0d-6418-4f07-acf2-13b8cca9c37e,created
TEACHER,Daniel TETE,daniel.tete17@edu-eval.local,Edu@S017KqTXTQ,154f14db-b6df-4af9-842b-a24da4ba5ff8,created
STUDENT,David ADJETE,student0081@edu-eval.local,Edu@0081EnIODY,007d7321-b630-4b1e-a03e-f2b3cb2a91e1,created
STUDENT,Dédé ADJETE,student0069@edu-eval.local,Edu@0069Kk7Ab7,24be3430-23bb-4539-ba4b-823042e19d4e,created
STUDENT,Sena ADJETE,student0100@edu-eval.local,Edu@01000KbGfw,4a1c2ac6-0911-4846-9627-59f744d18254,created
STUDENT,Elise ADJOVI,student0063@edu-eval.local,Edu@0063wXm1Fm,87607b12-b265-4f78-a31c-0999eb32a6ed,created
STUDENT,Grace ADJOVI,student0094@edu-eval.local,Edu@009487iXOs,ed24d82b-afc7-4bdb-b0db-45c4866372b7,created
STUDENT,Grace ADJOVI,student0033@edu-eval.local,Edu@0033Erpcgm,099acff0-ed6f-4821-849d-46a52f1b5ffe,created
STUDENT,Sena ADJOVI,student0023@edu-eval.local,Edu@0023PIuwdU,4bcfcfaa-4a6a-4bd0-8c83-e8282dcb599f,created
STUDENT,Yao ADJOVI,student0031@edu-eval.local,Edu@0031IbJEee,5e2ffb5e-4049-4e83-804c-e82d645ab9ca,created
STUDENT,Abla AGBODJAN,student0025@edu-eval.local,Edu@00255E6yRx,9e6e1bf8-b70d-43b9-ac4b-64b8a35841bd,created
STUDENT,Akossiwa AGBODJAN,student0028@edu-eval.local,Edu@0028YHnI4Y,69e28a8f-0a13-4271-98a9-eb36957bf0dd,created
STUDENT,Grace AGBODJAN,student0074@edu-eval.local,Edu@00740XRn2y,fa718394-c39a-437d-a156-2020e94926e2,created
STUDENT,Nadia AGBODJAN,student0076@edu-eval.local,Edu@0076hSGVvq,751b3d26-016a-4771-8ff8-3065d6a7e924,created
STUDENT,Nadia AGBODJAN,student0039@edu-eval.local,Edu@0039i3mHgV,d63e63d6-62f8-4d64-ab81-38363cabd5a7,created
STUDENT,Ruth AGBODJAN,student0082@edu-eval.local,Edu@0082Ub69Yi,fb5aabcb-afaf-4fae-aa21-e93eba66994b,created
STUDENT,Afi AKAKPO,student0057@edu-eval.local,Edu@0057MECZJR,1e89938c-ec77-4c3d-9f94-739ed1d1636c,created
STUDENT,David AKAKPO,student0035@edu-eval.local,Edu@0035xZicQi,306fccb9-127a-4e03-a3ac-ed90f2e8b896,created
STUDENT,Grace AKAKPO,student0083@edu-eval.local,Edu@0083cXI4gl,57239b93-d382-4331-b138-99d6d0f47459,created
STUDENT,Samuel AKAKPO,student0099@edu-eval.local,Edu@00996N0JF7,e2e1e82c-f9c1-4471-a045-cfeea87d889e,created
STUDENT,Nadia AKPABIE,student0058@edu-eval.local,Edu@0058uf7ibc,ae95fc52-48b0-42d9-a210-69b5f6771398,created
STUDENT,Patrick AKPABIE,student0022@edu-eval.local,Edu@0022IJLygg,d36f4bbb-a392-40b5-b5ad-e0f1ca35d633,created
STUDENT,Ruth AKPABIE,student0071@edu-eval.local,Edu@0071QEDrpB,b302afbb-5601-481e-84d8-85ef0fba784f,created
STUDENT,Ama ALLODE,student0014@edu-eval.local,Edu@00141uoB1k,c0d1d9cc-3c87-4895-a333-48a39a32d03f,created
STUDENT,Eric ALLODE,student0086@edu-eval.local,Edu@0086mVU3HW,262fd448-f619-4ff5-9b93-5cf0000e847f,created
STUDENT,Sena ALLODE,student0010@edu-eval.local,Edu@0010k3wWMk,717e89e2-eb33-42d1-b786-22321acd5441,created
STUDENT,Elise AMEGAN,student0077@edu-eval.local,Edu@0077YHc8gj,a21e951a-2bf6-42b8-ad91-573ba936d720,created
STUDENT,Komlan AMEGAN,student0091@edu-eval.local,Edu@0091iFMO3s,dbfb4def-5daa-4cb2-9cc6-f8893d7d9878,created
STUDENT,Mensah AMEGAN,student0032@edu-eval.local,Edu@0032rQvKKM,8ec0ff3a-ce05-4a11-b5f9-966c99ad2f50,created
STUDENT,Samuel AMEGAN,student0043@edu-eval.local,Edu@0043EN4WvE,b0a63259-d841-4216-9c09-06f705c6fe22,created
STUDENT,Samuel AMEGAN,student0095@edu-eval.local,Edu@0095KPGJgR,19000304-d8fa-4ecf-b9d3-6b45f8e46111,created
STUDENT,Prisca AYITE,student0020@edu-eval.local,Edu@0020jIBuPP,5df4498a-6b90-4fd5-a50f-daac53d10879,created
STUDENT,Samuel AYITE,student0064@edu-eval.local,Edu@0064PxNLvq,ca50ce20-3a4f-47db-93b7-6764eed5529c,created
STUDENT,Yao AYITE,student0088@edu-eval.local,Edu@0088REunYu,8dfb9a65-04be-45cb-b511-7b353306181c,created
STUDENT,Ama BOKO,student0040@edu-eval.local,Edu@0040UHWIej,ce1f6926-4728-4d60-b082-dd9a123ac648,created
STUDENT,Dédé BOKO,student0017@edu-eval.local,Edu@0017pUke4o,551459ad-92d5-4e9a-b683-849a74ab9fe9,created
STUDENT,Michel BOKO,student0030@edu-eval.local,Edu@0030jb3HwN,916f2f9a-9fcc-40f0-b6ed-93a43af54f22,created
STUDENT,Kossi DOGBE,student0042@edu-eval.local,Edu@0042RrrcyQ,19507e7a-35bb-4fd7-a3da-6ca5d3dd5bc5,created
STUDENT,Mensah DOGBE,student0097@edu-eval.local,Edu@00975H2WVh,18c27d82-9ee5-4421-ab13-38575538d37d,created
STUDENT,Patrick DOGBE,student0006@edu-eval.local,Edu@0006Q4YbD1,64aea765-537a-4785-ba76-82a316b0e842,created
STUDENT,Yao DOGBE,student0090@edu-eval.local,Edu@0090myuvBH,00e4de79-054e-4c18-a262-d9eb64716a72,created
STUDENT,Elise KIGUI,student0066@edu-eval.local,Edu@0066AkSM4C,0daf72fc-d3e7-4417-ac1e-3d28319751a1,created
STUDENT,Elise KIGUI,student0027@edu-eval.local,Edu@0027XcTY1W,71e0e3d1-2014-4570-b760-5f93c1c50d2e,created
STUDENT,Elise KIGUI,student0041@edu-eval.local,Edu@00419tZAOG,f3b54808-18f0-4620-b5bd-39982be86295,created
STUDENT,Elise KIGUI,student0073@edu-eval.local,Edu@0073L055mz,3c6036a0-acbd-49fc-acc8-91af5d7e82c8,created
STUDENT,Emefa KIGUI,student0026@edu-eval.local,Edu@0026ybVSUB,808aff52-88c0-4978-a94c-15e72fe3b5de,created
STUDENT,Jean KIGUI,student0072@edu-eval.local,Edu@0072yoYutc,9f9c403d-99aa-4c47-9bd4-8e88f0ee5060,created
STUDENT,Komlan KIGUI,student0046@edu-eval.local,Edu@0046rnAv7d,7a230dae-07bc-406c-a813-844b4ebd2af0,created
STUDENT,Mawuli KIGUI,student0004@edu-eval.local,Edu@0004N8Wdb2,8478c5f3-7250-49f1-8c31-737712f51861,created
STUDENT,Prisca KIGUI,student0080@edu-eval.local,Edu@0080BKfNr1,981d57b7-88e4-48f3-8e40-0aca72f29544,created
STUDENT,Elise KOFFI,student0062@edu-eval.local,Edu@0062m2vJxo,c5208235-f65d-4e57-8f76-2685e963b990,created
STUDENT,Eric KOFFI,student0068@edu-eval.local,Edu@0068kR7FaU,12ef9c56-0f70-4611-a51d-ea0c802732f2,created
STUDENT,Mawuli KOFFI,student0018@edu-eval.local,Edu@0018d9pWk4,ba6dad9b-2a12-46a6-8c34-2a0332241bf2,created
STUDENT,Michel KOFFI,student0003@edu-eval.local,Edu@0003RBrdPq,aee66576-d353-48d4-a47c-4ea13b3d2d18,created
STUDENT,Abla KOMI,student0045@edu-eval.local,Edu@0045rXl1eU,35833fb0-759d-419e-b356-9648f251e921,created
STUDENT,Daniel KOMI,student0007@edu-eval.local,Edu@0007l0dpQY,6a4a5d8f-8508-41cf-9ccf-2bfaefbd8c3d,created
STUDENT,David KOMI,student0029@edu-eval.local,Edu@0029NEMXtf,90d0a7c5-5652-4a9a-800e-ab7133e22f43,created
STUDENT,Grace KOMI,student0008@edu-eval.local,Edu@0008Q1se0S,4c620403-4f2f-4796-853e-9587d9dd6063,created
STUDENT,Komlan KOMI,student0038@edu-eval.local,Edu@0038BAQ139,38d9dfce-d74b-4ba8-94f7-913890e08908,created
STUDENT,Kossi KOMI,student0061@edu-eval.local,Edu@0061cvvYnW,09401ee9-f865-4137-879a-d7911c239cad,created
STUDENT,Mawuli KOMI,student0075@edu-eval.local,Edu@0075EwJl59,4684a178-1842-4700-b0a4-3bb4694701dd,created
STUDENT,Michel KOMI,student0001@edu-eval.local,Edu@0001bYuLJL,1de1e4b2-eabd-4096-be1c-2df84f498c69,created
STUDENT,Nadia KOMI,student0021@edu-eval.local,Edu@0021PYhWfY,7f8b05b1-18b3-4aa1-b157-857240aa938a,created
STUDENT,Nadia KOMI,student0092@edu-eval.local,Edu@0092qDrU6T,d37fc12e-7b7e-485d-9a56-94fc2e6a2716,created
STUDENT,Patrick KOMI,student0098@edu-eval.local,Edu@0098Ll2SdI,b2a8cb84-9ccd-45cb-9a6e-8ba4d6ff3557,created
STUDENT,Ruth KOMI,student0060@edu-eval.local,Edu@00605NSw1v,32330906-13a3-4125-9f82-72dc2bbefde1,created
STUDENT,Dédé KPODAR,student0034@edu-eval.local,Edu@0034tIkB54,6e73ab68-855a-403a-9764-da75412a726b,created
STUDENT,Dédé KPODAR,student0078@edu-eval.local,Edu@0078lhoveU,6671c362-e066-40f9-b1b6-019c1ac4f231,created
STUDENT,Dédé KPODAR,student0089@edu-eval.local,Edu@00897mSCei,4ec6de5a-7278-4006-8cfe-82b9755cde3e,created
STUDENT,Kodjo KPODAR,student0024@edu-eval.local,Edu@0024p2MMLW,890bcd96-b156-4a0e-8142-b5b3caf38c71,created
STUDENT,David LAWSON,student0044@edu-eval.local,Edu@0044jUhbHm,65cbc25a-729c-4cd9-8904-d24600f93670,created
STUDENT,Elise LAWSON,student0015@edu-eval.local,Edu@0015zW8VO0,95182149-d6e3-4c02-b901-eb85f4117735,created
STUDENT,Emefa LAWSON,student0096@edu-eval.local,Edu@0096iOgG3g,af3c0476-d3ef-48de-9ae4-a9d8c5b3d941,created
STUDENT,Grace LAWSON,student0054@edu-eval.local,Edu@005403hjEM,f8b5c353-3c53-408c-b783-bf0caa7c7530,created
STUDENT,Joseph LAWSON,student0059@edu-eval.local,Edu@0059DyWAF5,c8c242df-76e3-46b9-b60b-2230b6b2851a,created
STUDENT,Yao LAWSON,student0009@edu-eval.local,Edu@0009Vo2Uzq,ee677db7-2100-4260-a058-4c44edc139d0,created
STUDENT,Afi MENSAH,student0019@edu-eval.local,Edu@0019l3bFID,9106a800-e2ae-4db7-b475-24f01a2d0901,created
STUDENT,Daniel MENSAH,student0079@edu-eval.local,Edu@0079xvyM1h,e3d0bb81-5a2a-434d-9d5d-1836ee1948fa,created
STUDENT,Joseph MENSAH,student0013@edu-eval.local,Edu@0013lsn7O2,65037be8-1e73-4ba0-ace9-7d4cc4f65bc9,created
STUDENT,Marie MENSAH,student0005@edu-eval.local,Edu@0005JERhFk,c2fa2889-1abd-492f-9555-d53189ab0c3e,created
STUDENT,Mawuli MENSAH,student0011@edu-eval.local,Edu@0011L83xgO,59f4209b-28f7-4e27-9c06-f0bae6bcd035,created
STUDENT,Mensah MENSAH,student0036@edu-eval.local,Edu@0036dm43nd,1222751a-15d5-403f-819c-f79ff03c1f06,created
STUDENT,Akossiwa NIKA,student0048@edu-eval.local,Edu@0048TjnwJL,08b0e7bc-6a92-45f0-a11e-32702c72152f,created
STUDENT,Daniel NIKA,student0084@edu-eval.local,Edu@0084SraXtA,5c6c4fb5-9233-40fa-b69e-ebe53d0b59d0,created
STUDENT,Mensah NIKA,student0093@edu-eval.local,Edu@00930SPY17,5c281293-27cd-4e14-a719-2f73c67aa57d,created
STUDENT,Michel NIKA,student0037@edu-eval.local,Edu@0037yHiLS8,5d5c9dda-f4bd-4483-b248-1e8f47c03af9,created
STUDENT,Nadia NIKA,student0055@edu-eval.local,Edu@00553aR5V8,ec8824cd-0035-4f48-911d-6b185048e23e,created
STUDENT,Reine NIKA,student0049@edu-eval.local,Edu@0049aeXAnp,7e0d991d-f696-405c-8b6c-b2b823770f1f,created
STUDENT,Reine NIKA,student0051@edu-eval.local,Edu@0051ugSGB0,8a7c99b2-8dff-497c-a7e9-8bc57eb7843f,created
STUDENT,Yao NIKA,student0070@edu-eval.local,Edu@0070Z3M5Wn,c65c0609-6739-48d2-acad-855ecf8d164d,created
STUDENT,Elise SOGLO,student0002@edu-eval.local,Edu@0002BZH2KN,2454bfff-d5e8-4f95-8883-2b8603cd775e,created
STUDENT,Emmanuel SOGLO,student0087@edu-eval.local,Edu@0087swXlaH,c7fed57b-63a9-4fb5-9141-dea37c0f9743,created
STUDENT,Michel SOGLO,student0016@edu-eval.local,Edu@0016VJX2Xd,07d1775c-d718-4c62-bb26-cb5fbe0b1fea,created
STUDENT,Reine SOGLO,student0056@edu-eval.local,Edu@0056YQC2V8,2d4ff646-65c3-4411-9cb1-5c232cbafa37,created
STUDENT,Yao SOGLO,student0050@edu-eval.local,Edu@005049FXAQ,ef405798-dec7-4a14-83c9-07ed63ba1ab4,created
STUDENT,David TCHAKALA,student0065@edu-eval.local,Edu@0065atftDB,c1581bd4-74ab-433e-9413-80979ab36aca,created
STUDENT,Eric TCHAKALA,student0052@edu-eval.local,Edu@0052dXNQER,4728fb79-e513-4f01-a364-ccc8a4967fb3,created
STUDENT,Michel TCHAKALA,student0053@edu-eval.local,Edu@0053V8TvTY,53ed44c2-6555-4d5f-84df-c81a51f5b1b2,created
STUDENT,Ruth TCHAKALA,student0067@edu-eval.local,Edu@0067sUuVhp,114a7c9b-7ad9-483a-ad74-f8b0523ea022,created
STUDENT,Marie TETE,student0085@edu-eval.local,Edu@0085fVkmri,7556f453-e21b-4993-a2c3-06e1a3ef28cf,created
STUDENT,Nadia TETE,student0047@edu-eval.local,Edu@0047KV3MKc,0b6fa79f-d30a-4a33-89a1-11e12979e999,created
STUDENT,Ruth TETE,student0012@edu-eval.local,Edu@0012ApryOq,d73e9929-9958-4ae8-a39c-425f7be7c49b,created
